model,T_test,t,rmse_t_mean,rmse_t_std
FNO,6.0,5.142857142857142,0.19902516901493073,0.04184506707572191
FNO,6.0,5.238095238095238,0.19631801843643187,0.04384922719440351
FNO,6.0,5.333333333333333,0.19414869844913482,0.046455962488293985
FNO,6.0,5.428571428571428,0.1922926515340805,0.0462601139849103
FNO,6.0,5.523809523809524,0.19393317103385926,0.04635759401065816
FNO,6.0,5.619047619047619,0.19201734364032746,0.045521128506891294
FNO,6.0,5.7142857142857135,0.1910295754671097,0.03909486851204554
FNO,6.0,5.809523809523809,0.19274917244911194,0.03895732841125704
FNO,6.0,5.904761904761904,0.19130223691463472,0.038271799630815846
FNO,6.0,6.0,0.18615517914295196,0.03479732030623673
LC-DeepONet,4.0,0.0,0.002575751906260848,0.00038700655544784523
LC-DeepONet,4.0,0.06349206349206349,0.002389564272016287,0.0005451507050397657
LC-DeepONet,4.0,0.12698412698412698,0.004312634281814098,0.0007690927610872288
LC-DeepONet,4.0,0.19047619047619047,0.009154684096574783,0.0006896376052929803
LC-DeepONet,4.0,0.25396825396825395,0.015580680780112743,0.0007794448837909313
LC-DeepONet,4.0,0.31746031746031744,0.022582483664155006,0.001109001004204149
LC-DeepONet,4.0,0.38095238095238093,0.02985425814986229,0.0015682573682194358
LC-DeepONet,4.0,0.4444444444444444,0.036811521649360655,0.001990890338335154
LC-DeepONet,4.0,0.5079365079365079,0.04369212761521339,0.0023029979360728123
LC-DeepONet,4.0,0.5714285714285714,0.05023323819041252,0.002476743672405341
LC-DeepONet,4.0,0.6349206349206349,0.056862013041973115,0.0026869009085893304
LC-DeepONet,4.0,0.6984126984126984,0.06336660608649254,0.0030510551003177224
LC-DeepONet,4.0,0.7619047619047619,0.06997962296009064,0.003685006083690108
LC-DeepONet,4.0,0.8253968253968254,0.07635565251111984,0.0046903073222402565
LC-DeepONet,4.0,0.8888888888888888,0.08247092068195343,0.005875149136465779
LC-DeepONet,4.0,0.9523809523809523,0.08792911916971206,0.0072465535525914355
LC-DeepONet,4.0,1.0158730158730158,0.09288614690303802,0.008513342044315789
LC-DeepONet,4.0,1.0793650793650793,0.09708679169416427,0.009686114304537797
LC-DeepONet,4.0,1.1428571428571428,0.10082095265388488,0.010724475770122165
LC-DeepONet,4.0,1.2063492063492063,0.1038916438817978,0.011542562021407398
LC-DeepONet,4.0,1.2698412698412698,0.1065916046500206,0.012285445663961688
LC-DeepONet,4.0,1.3333333333333333,0.10889539420604706,0.013032765933290521
LC-DeepONet,4.0,1.3968253968253967,0.11085128039121628,0.0136169734860723
LC-DeepONet,4.0,1.4603174603174602,0.11229551136493683,0.01390082406421422
LC-DeepONet,4.0,1.5238095238095237,0.11344348043203353,0.01395756312255419
LC-DeepONet,4.0,1.5873015873015872,0.11407595872879028,0.013765795024820034
LC-DeepONet,4.0,1.6507936507936507,0.11443371027708053,0.013416922394054825
LC-DeepONet,4.0,1.7142857142857142,0.11442856192588806,0.012951339092412771
LC-DeepONet,4.0,1.7777777777777777,0.11418561935424805,0.012392348845926125
LC-DeepONet,4.0,1.8412698412698412,0.11358627378940582,0.011862399621195924
LC-DeepONet,4.0,1.9047619047619047,0.11279659420251846,0.011455574293720761
LC-DeepONet,4.0,1.9682539682539681,0.11177971512079239,0.010808027340659327
LC-DeepONet,4.0,2.0317460317460316,0.11065020859241485,0.010126373131588437
LC-DeepONet,4.0,2.095238095238095,0.1096924290060997,0.009473976675721979
LC-DeepONet,4.0,2.1587301587301586,0.10897277742624283,0.008803821358027257
LC-DeepONet,4.0,2.2222222222222223,0.10853836238384247,0.008073286268863068
LC-DeepONet,4.0,2.2857142857142856,0.10845214128494263,0.007429196612106277
